지역,구역,2010,2011,2012,2013,2014,2015,2016,2017
서울,종로구,165501,161128,159458,163833,167639,187264,183594,182671
서울,중구,295098,288002,290822,279782,291518,333310,315176,300002
서울,용산구,90026,96636,92295,95403,97296,104334,103015,108168
서울,성동구,75802,78078,84405,88988,98414,109886,112210,112315
서울,광진구,76475,74496,76408,78907,77586,83522,84088,83628
서울,동대문구,78976,82958,84111,85202,89119,94660,94824,93267
서울,중랑구,44304,47058,50394,51200,54241,54391,55038,55945
서울,성북구,60399,63454,67444,71838,70990,75365,73441,72329
서울,강북구,39467,40241,40677,41019,42514,42510,42746,45013
서울,도봉구,36406,36897,37375,39598,39794,41506,42845,43419
서울,노원구,67920,69927,69712,71935,76175,81242,81131,84050
서울,은평구,44567,45965,49155,51516,52739,53595,57160,56867
서울,서대문구,61579,65598,70834,72353,77647,85040,86018,83842
서울,마포구,159539,160909,172059,174659,187834,208260,207118,203944
서울,양천구,70994,69273,69597,69963,75744,77525,76285,77961
서울,강서구,113923,120027,124607,134197,139109,152001,158614,184433
서울,구로구,125564,126725,135141,140105,143947,152271,155102,158624
서울,금천구,117366,127202,129040,133869,144223,149827,153082,155520
서울,영등포구,250583,253753,266453,272925,279258,300870,299132,292883
서울,동작구,70771,70743,70407,80025,76611,75901,81326,84461
서울,관악구,59923,63157,65316,65210,69968,73665,70009,71491
서울,서초구,286649,281716,281583,287673,304012,331589,328590,330570
서울,강남구,513762,514705,505784,523394,558456,603759,591907,587099
서울,송파구,171233,173310,176752,180846,193414,217129,221374,239281
서울,강동구,73246,75899,81972,84109,89619,92155,92448,96775
부산,중구,49387,49765,52264,51046,53990,53074,55055,52890
부산,서구,25470,25383,26412,27270,28657,27802,29312,29408
부산,동구,50963,50462,53333,54157,52258,55327,54473,54269
부산,영도구,17720,16440,18019,18544,19096,20471,22842,21592
부산,부산진구,96250,101028,106109,108063,109100,110734,117631,118666
부산,동래구,47012,49762,51186,53368,53171,53274,55037,56183
부산,남구,41654,43667,44201,44910,47580,48366,51834,52342
부산,북구,29621,30338,31530,32246,33685,34327,36302,37809
부산,해운대구,60231,66463,71715,78606,81995,86463,93606,97771
부산,사하구,45992,46333,46456,49127,49743,51401,52849,52759
부산,금정구,44045,44691,46649,48119,48516,48884,49965,51374
부산,강서구,16197,17941,19958,23505,27758,29589,31925,34996
부산,연제구,51630,52721,54528,54695,54109,54633,57544,57891
부산,수영구,26977,28999,29525,29556,30472,31609,34115,35625
부산,사상구,54166,54637,55515,57288,58046,59802,61097,59017
부산,기장군,12247,14449,17179,21086,24447,25078,27193,29255
대구,중구,54390,57085,60920,60287,62734,65271,67250,67447
대구,동구,52608,54399,56605,59031,61319,64136,70998,72616
대구,서구,31779,31990,32945,33623,34434,35021,36879,37055
대구,남구,26218,27689,28404,28981,31315,31691,34337,35614
대구,북구,62853,66262,69564,72247,74243,76842,82719,84216
대구,수성구,70915,76257,75954,78735,77675,83294,85879,85845
대구,달서구,84419,85954,91600,96730,95043,95439,102545,103624
대구,달성군,15633,17070,18645,20641,21839,24067,27829,29806
인천,중구,45988,51022,52123,53460,61073,64420,63993,64497
인천,동구,12830,12966,13346,13139,13464,14120,15080,14972
인천,남구,58052,59345,62835,63315,67975,67729,70809,71466
인천,연수구,34551,36388,41442,46015,51021,57649,62443,67287
인천,남동구,71578,75119,75630,80406,84541,92327,95547,100270
인천,부평구,68960,72740,74732,79948,78915,79583,82528,83606
인천,계양구,36870,37920,39000,40129,42156,44550,46565,49109
인천,서구,44574,50469,52742,58377,63227,67947,72804,78332
인천,강화군,6943,6896,7179,7616,7620,8206,7687,7815
인천,옹진군,1216,1227,1350,1403,1276,1772,1818,1751
광주,동구,40534,41539,45155,45440,46449,44414,49598,51306
광주,서구,71003,76139,78932,79362,78924,87774,93137,96456
광주,남구,28996,30495,30772,31632,34450,35185,37093,38191
광주,북구,77668,73220,77079,81362,82022,83286,88538,89606
광주,광산구,51733,54665,60920,64520,66576,68228,70677,74579
대전,동구,38568,37367,39072,40439,40981,43874,45580,43524
대전,중구,54564,58561,58399,59949,62160,62511,66581,66225
대전,서구,96581,101478,106313,110551,117806,125834,127082,129373
대전,유성구,65605,72352,75339,82363,87217,92211,98843,102648
대전,대덕구,36445,37354,37958,39215,39736,40280,41570,42721
울산,중구,22018,23470,24075,26296,29785,30963,31712,32003
울산,남구,88558,91392,90433,97035,99514,100481,106073,103738
울산,동구,17399,17874,19324,21205,22205,23561,22335,22686
울산,북구,22111,23700,25676,27456,27903,29649,30842,30808
울산,울주군,26694,28973,28525,29633,32903,33869,35776,35048
경기,수원시,198243,230075,210755,253945,264952,272564,278405,284666
경기,성남시,201035,223178,238728,271184,286376,304429,309573,322984
경기,의정부시,58471,61465,63822,69588,68592,69923,74626,77262
경기,안양시,129405,131619,133489,145044,148333,151085,159270,162837
경기,부천시,126836,132454,136845,141643,144784,145229,151237,156915
경기,광명시,38775,40746,44776,46573,49708,49638,52600,55220
경기,평택시,61957,66796,69354,75117,79649,84241,88008,90553
경기,동두천시,11690,12218,12244,12693,12813,12937,13795,14399
경기,안산시,105897,111635,119097,125174,128192,128391,133046,132291
경기,고양시,150534,156721,162677,170933,184051,191667,201838,211824
경기,과천시,18985,19921,21167,21409,20968,21458,21871,22358
경기,구리시,32242,33723,36624,37666,39059,39412,41204,44743
경기,남양주시,53646,55792,60624,67874,72499,77997,83169,86548
경기,오산시,23290,25065,26965,31510,33567,34498,35717,37874
경기,시흥시,49586,53721,58968,60416,62629,65316,66977,69251
경기,군포시,44028,46037,45610,50081,51389,50340,54134,56690
경기,의왕시,18460,20169,21440,22536,23685,26548,29772,29666
경기,하남시,29728,30234,30338,33315,34648,35254,40337,43849
경기,용인시,138414,140399,146033,160688,172539,182768,188896,198368
경기,파주시,44395,49771,53692,57312,59728,65833,70429,73512
경기,이천시,32772,37407,40009,45219,47799,47662,52766,54379
경기,안성시,27127,28670,29855,31240,32638,32424,34195,34799
경기,김포시,30601,32491,34507,39348,46291,49373,54001,58223
경기,화성시,79209,87451,97327,106570,123234,133631,144630,149626
경기,광주시,39179,40175,43982,45464,50597,53699,57415,58974
경기,양주시,21379,21696,23765,25541,27538,27929,30546,32237
경기,포천시,23501,24267,25506,26351,27991,28673,30689,29863
강원,춘천시,49798,51440,53211,57068,59147,62361,62369,63588
강원,원주시,54195,56742,59314,65065,68155,72874,78214,81879
강원,강릉시,36842,38183,40953,42977,43062,43231,45513,47715
강원,동해시,15635,16464,16362,16398,15843,16757,16866,16958
강원,태백시,7412,7610,7614,7970,7999,7908,8824,9225
강원,속초시,13998,13594,14506,15028,16025,15795,16920,17438
강원,삼척시,8275,8265,9330,10246,10445,10202,11066,11257
충북,청주시,106623,109636,118731,121515,149476,153599,160679,41764
충북,충주시,29230,30933,31514,32189,33868,36525,39064,26972
충북,제천시,21122,22364,23930,25643,26162,25603,26934,163341
충남,천안시,97915,102163,107891,112921,121510,131337,133092,138186
충남,공주시,16854,17022,17405,17879,17931,18703,20109,20591
충남,보령시,12953,12926,13711,14344,13943,14591,15038,14962
충남,아산시,30359,34253,35475,37782,41649,47695,51798,52185
충남,서산시,21150,21810,23055,23018,23510,25990,27458,27960
충남,논산시,16380,17165,16974,17093,18569,18979,19459,20047
충남,계룡시,3896,4098,4204,4288,4382,4367,4689,5939
충남,당진시,16288,17815,21612,24977,25642,29331,28716,28746
전북,전주시,115008,120544,127370,132101,136605,142048,145714,148004
전북,군산시,39479,41182,40597,42755,45106,47175,48542,47297
전북,익산시,46223,48152,49941,51572,52143,54085,54218,54606
전북,정읍시,14023,14214,14145,14451,14972,15915,16675,18169
전북,남원시,10103,10524,10577,11268,11676,12145,12662,12482
전북,김제시,10264,10792,11012,11755,11883,12842,13319,13641
전남,목포시,43034,44206,44998,45911,46668,47203,49742,49438
전남,여수시,40506,41654,44002,46970,48611,51302,53938,56461
전남,순천시,42416,43761,46592,48668,50057,52101,56078,56877
전남,나주시,10906,11855,12844,14158,15470,17618,18334,20095
전남,광양시,29258,30595,30781,32215,33193,34316,34615,33819
경북,포항시,88383,91446,94467,97806,99419,99363,101524,100157
경북,경주시,38354,39491,40509,42525,43808,46038,45853,47023
경북,김천시,15231,14700,15606,16572,18853,21483,23934,25238
경북,안동시,25709,27332,25814,27640,27683,29159,30429,29619
경북,구미시,56138,59169,59260,61828,62120,69480,71322,70225
경북,영주시,14065,14467,15321,15860,15973,16737,17992,19478
경북,영천시,11117,11472,12226,13045,14139,13851,14440,14401
경북,상주시,10045,10561,11200,11952,12241,12663,12822,13324
경북,문경시,8016,8071,8650,8710,9910,10315,10457,11116
경북,경산시,34587,35205,37926,41485,42373,44464,47492,48723
경남,창원시,172953,179297,188462,196077,198775,205707,211865,212364
경남,진주시,55789,57016,60101,60088,64883,67685,72275,74109
경남,통영시,18455,18306,19507,19867,20314,21566,21180,21448
경남,사천시,13997,15059,15448,16723,17215,17850,18640,19080
경남,김해시,67065,70561,74227,79925,82410,82657,86512,88505
경남,밀양시,11629,11685,12821,12556,12551,14095,14317,14377
