지역,구역,2010,2011,2012,2013,2014,2015,2016,2017
서울,종로구,498,680,628,1108,1042,1447,1336,2562
서울,중구,1696,1274,1689,1085,1711,2483,2493,2257
서울,용산구,1691,1480,945,1574,2373,2810,3960,5022
서울,성동구,1785,2615,1726,3020,5271,8479,6814,7036
서울,광진구,1223,1615,1369,1338,2258,2535,2630,3049
서울,동대문구,2092,3326,2556,3784,5573,6405,7011,5782
서울,중랑구,1944,2547,2016,2894,5370,4662,4031,4820
서울,성북구,3713,4671,2934,4157,5299,7585,6471,7874
서울,강북구,1269,1595,1089,1459,2022,2952,2225,3060
서울,도봉구,2023,3169,2247,3745,4011,5569,5133,4519
서울,노원구,5128,6397,4841,7249,9458,13017,13346,12576
서울,은평구,6608,3242,2098,2965,3382,4824,5087,6279
서울,서대문구,1750,1990,1800,2260,3368,6076,5651,6557
서울,마포구,2148,3471,2048,3345,4790,7601,6248,5804
서울,양천구,3172,4013,2438,3360,4463,7216,7545,5510
서울,강서구,2609,4029,2536,4774,9107,9902,9766,8270
서울,구로구,2459,5163,2725,3931,6272,6928,6884,6351
서울,금천구,691,1049,1006,1702,2433,3348,2999,3810
서울,영등포구,2347,2763,2746,3784,5137,6709,6499,8860
서울,동작구,2556,3298,2782,3943,3763,5824,6060,6014
서울,관악구,1873,2270,2052,2588,3487,4621,3702,4355
서울,서초구,4315,3908,3538,5949,9391,7744,7869,8191
서울,강남구,4892,5610,5026,6535,10870,9765,9531,9157
서울,송파구,4416,5443,4648,10234,8387,9783,12757,12076
서울,강동구,3403,4919,3357,4234,5540,8052,9004,15422
부산,중구,357,404,441,731,487,401,466,467
부산,서구,1248,1024,1183,1118,2148,2975,1803,3424
부산,동구,1118,1218,525,706,1252,1417,2427,2298
부산,영도구,1541,1555,990,1552,1486,2088,1893,2129
부산,부산진구,8648,11227,6154,6972,9219,11520,10177,13892
부산,동래구,5900,7365,3346,5110,7295,9609,9636,7355
부산,남구,6239,5364,3647,8309,7157,9408,8027,5582
부산,북구,7508,6949,8159,7164,9363,12623,9924,5336
부산,해운대구,11119,12839,8675,8699,11603,15674,11534,9187
부산,사하구,7847,8059,5496,6595,7099,8773,9451,8533
부산,금정구,6030,5911,4505,5055,5538,5931,4802,5475
부산,강서구,2340,1423,1245,3884,6142,9797,9846,9294
부산,연제구,5819,4587,3230,4272,5929,9296,7367,6165
부산,수영구,3396,4058,2506,2769,7126,5870,5471,7131
부산,사상구,5655,3706,2430,3944,5300,4233,4463,4369
부산,기장군,4349,5797,4718,12082,7853,6886,4758,7156
대구,중구,791,1809,1847,2641,3543,3223,2414,2066
대구,동구,5503,7564,8373,10838,10874,10921,7274,7109
대구,서구,1130,2679,2526,1899,1491,1656,822,1206
대구,남구,1040,1526,1907,1152,1159,1450,865,2644
대구,북구,8737,11403,11396,11054,12287,13711,8565,12745
대구,수성구,8409,12047,8585,14814,11946,10391,7842,11156
대구,달서구,13378,19261,16338,18454,14472,13286,8743,11781
대구,달성군,2783,4788,3854,7650,12259,14030,18662,16703
인천,중구,1747,772,3769,3493,3928,2604,2638,5970
인천,동구,1617,1068,601,927,1266,1529,1286,964
인천,남구,3459,3731,2931,3963,5568,7057,11761,8400
인천,연수구,5164,9609,7539,8375,11716,15109,13714,20426
인천,남동구,5108,13999,7059,7627,10917,14679,10424,12980
인천,부평구,7915,6270,5459,7969,11055,11687,8884,7735
인천,계양구,3689,4359,3820,5806,5625,7756,6430,6636
인천,서구,6340,14573,14387,9932,10191,10278,10541,14806
인천,강화군,161,130,202,152,189,236,244,161
인천,옹진군,0,0,0,0,0,0,0,0
광주,동구,880,2251,1065,987,3301,2560,3017,5412
광주,서구,8739,8718,6245,7108,9046,8643,8311,8039
광주,남구,5188,5404,3881,5111,8810,7894,5484,7938
광주,북구,10376,10657,8539,12424,15413,14662,9168,13210
광주,광산구,10610,15906,13753,16409,16295,13153,10157,14067
대전,동구,4254,9405,3963,4192,3964,4261,3895,3848
대전,중구,5355,6195,3631,5523,4198,4046,3711,3943
대전,서구,11313,10922,6622,8904,11607,10205,12306,12554
대전,유성구,8495,11898,7983,7884,13137,9841,9628,12447
