지역,구역,2010,2011,2012,2013,2014,2015,2016,2017
서울,종로구,17,17,17,17,17,17,17,17
서울,중구,13,13,13,13,13,13,13,14
서울,용산구,19,19,18,17,17,17,17,17
서울,성동구,31,30,29,29,30,31,31,31
서울,광진구,42,42,40,38,37,37,36,36
서울,동대문구,36,35,32,32,33,33,32,32
서울,중랑구,33,33,31,31,32,32,34,34
서울,성북구,55,55,54,55,55,55,52,52
서울,강북구,23,23,24,23,24,22,24,23
서울,도봉구,29,29,30,31,31,30,30,29
서울,노원구,71,72,73,70,70,69,67,68
서울,은평구,45,44,49,49,50,48,48,48
서울,서대문구,26,25,25,26,26,26,27,27
서울,마포구,32,32,32,29,28,28,28,27
서울,양천구,48,47,47,48,50,50,49,50
서울,강서구,47,44,45,45,46,52,52,53
서울,구로구,32,32,33,35,38,37,36,36
서울,금천구,17,17,19,19,19,18,17,18
서울,영등포구,42,40,41,41,41,42,42,42
서울,동작구,31,30,31,31,34,34,34,34
서울,관악구,37,37,39,36,36,36,36,35
서울,서초구,23,23,23,26,25,28,27,28
서울,강남구,33,33,33,38,40,42,41,38
서울,송파구,47,48,50,51,53,54,54,56
서울,강동구,37,37,38,39,39,37,35,35
부산,중구,2,2,2,2,3,3,4,4
부산,서구,12,11,11,10,11,11,11,10
부산,동구,10,10,10,10,10,9,10,10
부산,영도구,16,15,15,15,15,15,15,14
부산,부산진구,45,45,46,47,48,48,48,47
부산,동래구,28,28,29,30,31,32,34,33
부산,남구,22,21,22,23,25,26,25,26
부산,북구,31,31,31,32,32,32,34,36
부산,해운대구,37,37,38,39,39,42,42,40
부산,사하구,42,42,40,41,43,44,45,45
부산,금정구,26,26,27,28,27,28,27,28
부산,강서구,16,12,12,13,13,14,16,19
부산,연제구,15,14,15,16,17,17,17,17
부산,수영구,22,21,21,20,20,20,20,22
부산,사상구,30,30,29,30,31,31,31,31
부산,기장군,19,20,21,27,30,31,33,35
대구,중구,13,12,12,12,12,13,12,12
대구,동구,43,45,52,53,57,60,63,62
대구,서구,18,18,22,23,24,24,24,24
대구,남구,15,15,15,16,16,19,16,16
대구,북구,68,68,70,73,76,78,76,74
대구,수성구,43,47,50,55,59,62,55,54
대구,달서구,74,77,80,85,89,90,85,83
대구,달성군,36,40,42,44,42,46,44,45
인천,중구,13,12,13,14,15,17,17,17
인천,동구,11,13,12,12,12,12,13,13
인천,남구,41,41,43,45,44,44,45,47
인천,연수구,33,35,36,37,37,38,40,42
인천,남동구,68,71,71,76,78,82,87,87
인천,부평구,69,68,71,72,70,69,69,68
인천,계양구,39,39,39,41,40,39,39,40
인천,서구,70,70,72,82,84,86,86,85
인천,강화군,25,21,21,21,21,21,21,21
인천,옹진군,11,11,11,11,11,10,10,10
광주,동구,15,16,17,16,16,16,17,17
광주,서구,52,53,58,59,61,60,60,60
광주,남구,36,38,38,42,43,45,45,45
광주,북구,81,84,88,98,102,106,106,105
광주,광산구,64,67,77,80,86,88,93,91
대전,동구,38,37,38,38,39,39,38,38
대전,중구,39,40,40,41,43,43,43,43
대전,서구,72,71,75,77,77,80,81,81
대전,유성구,54,57,65,71,73,73,73,74
대전,대덕구,34,34,34,33,33,33,34,33
울산,중구,29,30,30,34,36,36,37,37
울산,남구,45,45,45,47,46,46,46,46
울산,동구,23,23,24,26,26,25,25,26
울산,북구,32,35,35,34,36,36,37,39
울산,울주군,52,52,52,52,52,51,51,51
경기,수원시,167,167,173,182,188,191,196,197
경기,성남시,115,118,119,120,123,125,131,131
경기,의정부시,64,64,64,62,63,64,67,66
경기,안양시,82,81,85,86,88,86,87,83
경기,부천시,114,113,116,119,122,123,124,126
경기,광명시,47,48,49,50,51,51,51,51
경기,평택시,97,101,101,101,103,104,107,108
경기,동두천시,20,20,20,20,19,19,19,19
경기,안산시,94,95,95,96,98,99,100,98
경기,고양시,148,149,150,154,161,167,174,175
경기,과천시,7,7,8,8,8,8,8,8
경기,구리시,33,33,32,32,32,31,33,34
경기,남양주시,90,92,95,96,100,108,109,110
경기,오산시,35,40,42,47,48,49,50,50
경기,시흥시,58,60,60,60,61,61,63,67
경기,군포시,43,43,43,49,49,49,49,49
경기,의왕시,20,20,21,23,23,24,24,24
경기,하남시,22,22,22,22,22,27,28,32
경기,용인시,143,149,155,158,165,169,170,171
경기,파주시,80,85,88,93,98,99,99,99
경기,이천시,49,49,50,51,51,52,53,54
경기,안성시,46,49,49,52,52,52,51,51
경기,김포시,52,56,65,72,74,81,84,91
경기,화성시,109,112,116,118,120,131,139,148
경기,광주시,35,37,38,38,39,39,38,39
경기,양주시,41,41,44,45,46,47,47,48
경기,포천시,42,42,42,42,42,41,41,39
강원,춘천시,39,39,40,40,42,43,46,45
강원,원주시,61,61,65,66,70,71,73,72
강원,강릉시,40,40,40,40,41,44,38,38
강원,동해시,23,22,22,22,22,22,18,17
강원,태백시,15,16,15,15,15,15,13,13
강원,속초시,12,12,12,12,12,9,9,9
강원,삼척시,20,20,18,18,19,18,18,18
충북,청주시,97,95,97,98,102,138,139,141
충북,충주시,48,48,47,46,46,45,45,45
충북,제천시,35,35,35,35,35,34,35,35
충남,천안시,102,104,104,108,108,107,110,110
충남,공주시,39,39,38,36,36,36,35,35
충남,보령시,35,36,36,35,33,33,33,33
충남,아산시,49,52,56,53,55,55,58,60
충남,서산시,41,41,41,41,41,41,41,41
충남,논산시,35,34,33,33,33,32,32,32
충남,계룡시,9,9,9,8,8,8,8,8
충남,당진시,36,36,36,35,35,36,36,36
전북,전주시,112,115,119,118,116,120,123,125
전북,군산시,58,61,64,67,68,67,70,70
전북,익산시,87,85,85,85,87,87,86,87
전북,정읍시,45,45,44,43,43,43,43,43
전북,남원시,29,29,29,29,29,29,29,29
전북,김제시,40,40,41,41,42,41,40,40
전남,목포시,54,54,54,54,55,55,58,58
전남,여수시,72,71,73,72,75,75,76,76
전남,순천시,59,56,56,58,59,61,62,62
전남,나주시,26,25,25,24,25,26,27,29
전남,광양시,38,38,38,39,39,39,39,38
경북,포항시,98,106,113,114,115,116,115,115
경북,경주시,62,61,63,63,62,62,62,62
경북,김천시,36,36,36,36,36,36,36,38
경북,안동시,41,41,41,42,42,42,41,41
경북,구미시,81,82,86,89,98,99,99,101
경북,영주시,28,27,26,26,26,26,26,27
경북,영천시,28,27,25,25,25,23,23,23
경북,상주시,39,38,38,36,36,36,36,35
경북,문경시,26,26,26,26,26,26,26,26
경북,경산시,52,55,56,58,62,67,67,67
경남,창원시,92,193,191,192,193,192,194,197
경남,진주시,52,51,51,52,51,52,52,52
경남,통영시,32,31,31,31,31,30,30,30
경남,사천시,25,25,24,24,24,21,20,20
경남,김해시,84,86,89,90,88,87,92,92
경남,밀양시,29,29,29,29,28,27,25,25
경남,거제시,50,50,50,52,54,57,57,56
경남,양산시,55,56,56,59,59,59,62,64
제주,제주시,67,67,68,70,72,73,74,74
제주,서귀포시,42,42,42,42,42,44,44,44
