지역,구역,2010,2011,2012,2013,2014,2015,2016,2017
서울,종로구,170578,168382,165207,160070,156993,154986,152737,154770
서울,중구,132822,133193,133360,130465,128065,125733,125249,125709
서울,용산구,244853,246501,243232,239740,235951,233342,230241,229161
서울,성동구,309093,300711,299604,299337,296086,297003,299259,304808
서울,광진구,375463,371936,371313,368927,363354,360369,357215,357703
서울,동대문구,366786,365486,363258,364273,363687,360153,355069,350647
서울,중랑구,427455,423706,419295,416798,418836,413909,411005,408226
서울,성북구,488932,485171,481857,476589,466706,459275,450355,444055
서울,강북구,346520,345054,343157,338707,335025,330873,327195,324479
서울,도봉구,368298,365573,362270,358582,353709,351242,348220,344166
서울,노원구,611230,603930,597189,590479,582552,574583,567581,554403
서울,은평구,488109,493634,501480,503660,498644,497920,491476,486794
서울,서대문구,324541,314852,315113,314110,310376,312141,314194,312800
서울,마포구,391865,389493,384644,381856,385439,387643,379892,374915
서울,양천구,500001,500210,495911,492528,486221,484532,477739,471154
서울,강서구,574127,569072,567431,569070,585160,589074,595485,601691
서울,구로구,423736,427468,427520,424964,425831,422092,417551,410742
서울,금천구,245195,243438,243288,241020,238463,236284,235386,235154
서울,영등포구,406833,397443,391408,386471,382352,378504,370613,368550
서울,동작구,402709,401408,405491,410815,407470,400641,400997,396217
서울,관악구,531434,526397,523029,518028,513186,509663,506851,503297
서울,서초구,434720,433564,435044,441763,449678,446764,447192,441102
서울,강남구,570095,565710,564197,563599,578114,576495,567115,556164
서울,송파구,685279,682209,673115,668415,664738,660302,657831,664496
서울,강동구,491871,495138,487905,483379,476597,458658,444168,436223
부산,중구,49442,48686,48148,47345,46737,45816,45208,44218
부산,서구,126040,123718,120828,118783,118115,115963,112973,110039
부산,동구,101514,100420,98529,96011,94565,92069,89826,88868
부산,영도구,146798,143205,139765,135816,132102,129385,126362,123521
부산,부산진구,395826,395044,392731,389765,387378,381572,376526,371703
부산,동래구,282779,283742,278767,276689,275971,272837,272745,270727
부산,남구,298458,295121,291175,291770,286989,283101,278779,273854
부산,북구,312218,307988,312937,309719,306974,310484,310202,302924
부산,해운대구,426729,425618,428188,425536,423531,422818,419853,412039
부산,사하구,358730,355443,352726,349110,343371,337781,334603,333301
부산,금정구,255419,254720,255692,253526,249856,246026,244624,244469
부산,강서구,62594,64733,65806,69873,79619,94608,108909,117382
부산,연제구,212696,213326,211536,209290,208012,210718,207268,206742
부산,수영구,178267,176691,176666,175098,178480,179795,179324,179996
부산,사상구,257843,254413,250424,246797,242953,237711,232800,229219
부산,기장군,102557,108095,114566,132507,144748,153093,158527,161651
대구,중구,77857,76600,75439,76246,78812,80928,79712,78986
대구,동구,337529,341206,342092,343802,347975,349728,351352,349379
대구,서구,224618,222619,220211,215399,210770,206028,199507,191992
대구,남구,171197,169095,168715,166062,163492,160852,156433,152845
대구,북구,452505,449775,448485,444359,444375,443119,440383,441375
대구,수성구,461988,461083,459779,461004,456505,451786,447011,439211
대구,달서구,607083,606542,606557,610358,606433,602641,591891,578068
대구,달성군,178899,180351,184366,184358,184902,192747,218268,243375
인천,중구,92890,93581,98648,107774,111929,114493,115249,117999
인천,동구,79663,78692,76720,75093,73978,72571,71014,69487
인천,남구,423876,417996,414500,411330,408305,404893,417103,419267
인천,연수구,279230,287903,292589,300305,310703,319052,328627,335142
인천,남동구,473423,495469,503597,507021,514656,531395,530982,536578
인천,부평구,567493,560936,559047,556985,556992,555844,549716,539941
인천,계양구,347810,344299,342202,343806,339538,334332,330284,323784
인천,서구,408068,436134,469887,490035,498686,504606,510733,516017
