지역,구역,2010,2011,2012,2013,2014,2015,2016,2017
서울,종로구,1823,2129,1785,2394,2586,3503,3180,4340
서울,중구,2317,1903,2288,1745,2595,3721,3586,3217
서울,용산구,3005,2921,1994,2939,4702,5702,7046,8468
서울,성동구,2758,3637,2764,4125,6607,10241,8929,9182
서울,광진구,3137,3896,3400,3462,5291,7971,8076,8752
서울,동대문구,3371,4831,3757,5272,8257,10804,11131,9738
서울,중랑구,3700,5105,4417,5864,9157,11498,11093,10043
서울,성북구,6060,7199,4979,6954,8848,13242,12706,13128
서울,강북구,3726,4794,3913,5345,6338,8810,8297,8009
서울,도봉구,3736,5782,4908,6213,7151,9917,9565,8115
서울,노원구,6074,7808,5947,8621,11476,15409,15928,14910
서울,은평구,12182,10768,7438,8667,11540,17741,18213,17587
서울,서대문구,4197,4639,3907,4949,6843,10719,10816,10708
서울,마포구,4837,6348,4217,6197,8167,13221,14446,11699
서울,양천구,5822,7218,5363,6256,7785,12821,13510,10334
서울,강서구,6950,9353,7262,10685,15342,22593,20029,16490
서울,구로구,4143,7653,4738,6571,9287,11173,11487,11014
서울,금천구,1567,2491,2676,3803,5148,7058,7126,7184
서울,영등포구,3704,4377,3845,4847,6533,9526,10918,12067
서울,동작구,4558,5814,5394,7195,7246,11370,11905,11299
서울,관악구,4250,5286,4521,5667,7706,11200,10208,9923
서울,서초구,5594,5570,4793,7179,11217,10938,11095,11697
서울,강남구,6165,7132,6175,7687,12888,13120,13713,12862
서울,송파구,6557,8167,6588,12158,11455,15259,18678,18088
서울,강동구,4994,6775,5025,5973,7826,12756,13913,22327
부산,중구,843,1158,1106,1499,1200,1319,1219,1130
부산,서구,2077,2305,2457,2517,3730,4543,3607,5098
부산,동구,1801,2172,1332,1566,2337,2821,3686,3485
부산,영도구,2255,2564,1742,2241,2354,3611,3224,3352
부산,부산진구,10883,14430,9843,10944,13762,17042,14944,19086
부산,동래구,7532,10336,6011,7907,10539,13879,12784,9944
부산,남구,8803,9142,6313,11157,10775,15017,11957,9147
부산,북구,8883,9321,10321,8688,10827,14699,11740,7042
부산,해운대구,13437,15735,10764,10478,13651,18461,14501,11619
부산,사하구,9671,10537,7557,8754,9650,11485,12038,10915
부산,금정구,7805,8619,6929,7323,9019,9659,8375,8554
부산,강서구,2624,1822,1656,4476,6984,10663,10498,10014
부산,연제구,7383,6683,5560,6491,8643,12440,10342,8407
부산,수영구,5513,7265,5383,5103,10064,9720,8856,10233
부산,사상구,6595,4984,3517,5053,6594,5750,6010,5893
부산,기장군,4904,6590,5440,12839,8671,7889,5836,8014
대구,중구,1123,2281,2330,3176,4316,4277,3146,2920
대구,동구,6898,9770,10782,13792,14218,14686,9482,9495
대구,서구,2852,4756,4822,4450,4289,4719,2800,3098
대구,남구,2153,3443,3629,3041,3594,4159,2458,4625
대구,북구,10169,13448,13314,13248,14753,16454,10204,14321
대구,수성구,9565,13855,10135,16780,15047,13588,9772,13357
대구,달서구,15055,21867,18736,21143,17495,16059,10226,13395
대구,달성군,3342,5545,4641,8511,13291,14980,19286,17319
인천,중구,2726,1704,4493,4178,4932,3806,3861,7158
인천,동구,1970,1406,889,1292,1651,2111,1801,1485
인천,남구,9399,8712,7597,8899,11026,14440,19851,15427
인천,연수구,5926,10314,8130,8943,12525,16114,14812,21616
인천,남동구,9604,18685,10625,11286,15562,21012,16432,18899
인천,부평구,12329,11317,9665,11842,15336,20438,21201,19641
인천,계양구,7730,7796,5987,8126,8385,11479,10427,10568
인천,서구,12158,20220,17705,12503,14367,15070,17596,20801
인천,강화군,955,927,1011,980,1273,1510,1544,1574
인천,옹진군,192,175,225,226,234,244,316,322
광주,동구,1569,3211,1990,2036,4570,4287,4540,6999
광주,서구,9788,10277,8053,8675,10610,10645,9855,9582
광주,남구,6022,6756,5124,6495,10251,9539,7156,9384
광주,북구,11911,13048,10971,15153,18068,17437,11371,15624
광주,광산구,11650,18030,15115,17955,18414,15466,11936,16597
대전,동구,6010,11673,5289,5879,5518,6097,5566,5477
대전,중구,7064,8254,5206,7219,6003,5955,5469,5592
대전,서구,13534,13387,8155,10650,13348,12404,14496,14682
