지역,2010,2011,2012,2013,2014,2015,2016,2017
서울,515.7666667,501.9166667,484.6833333,482.8083333,500.8666667,532.1666667,581.5666667,664.1916667
부산,199.5,249.1916667,252.0916667,257.125,270.4833333,288.6666667,317.2916667,335.3333333
대구,162.2583333,192.2916667,216.1166667,244.3333333,277.6583333,311.5083333,306.3666667,321.0333333
인천,271.4416667,265.7416667,251.8333333,256.1333333,270.5083333,294.4583333,316.0416667,330.8
광주,126.5166667,159.875,175.0083333,187.0916667,203.625,223.5416667,237.825,252.3333333
대전,196.5666667,234.3583333,232.7,241.4916667,247.9833333,249.525,260.0833333,270.4916667
울산,180.2083333,205.125,239.9,245.7666667,267.1416667,284.075,301.8666667,303.25
경기,300.4833333,303.4,289.425,305.4,323.0666667,340.55,364.9583333,392.4
강원,113.925,134.05,145.775,152.3083333,157.0416667,172.9333333,193.3,200.9
충북,134.4666667,164.0333333,181.8666667,194.825,203.5083333,202.5333333,198.3416667,199.7666667
충남,146.7166667,168.4,191.65,204.1666667,214.025,212.175,202.45,206.7666667
전북,133.5833333,155.9166667,160.3583333,165.725,167.65,171.875,179.6333333,187.725
전남,111.3083333,128.4416667,136.2166667,141.925,142.275,146.4666667,155.575,168.975
경북,114.7916667,128.225,142.7416667,163.0166667,177.5416667,188.1916667,176.8166667,181.5666667
경남,176.225,216.8083333,215.8,227.9083333,241.4,244.4833333,242.3083333,241.5666667
제주,147.675,174.4916667,186.575,191.7,209.3333333,268.5583333,346.025,358.6666667
