지역,구역,2010,2011,2012,2013,2014,2015,2016,2017
서울,종로구,14,14,14,14,14,14,13,13
서울,중구,12,12,12,12,12,12,12,12
서울,용산구,15,15,15,15,15,15,15,15
서울,성동구,20,20,20,20,20,20,21,21
서울,광진구,22,22,22,22,22,22,22,22
서울,동대문구,21,21,21,21,21,21,21,21
서울,중랑구,22,22,22,22,23,23,23,23
서울,성북구,29,29,29,29,29,29,29,29
서울,강북구,14,14,14,14,14,14,14,14
서울,도봉구,23,23,23,23,23,23,23,23
서울,노원구,42,42,42,42,42,42,42,42
서울,은평구,29,31,31,31,31,30,30,30
서울,서대문구,18,18,18,18,18,18,19,19
서울,마포구,21,22,22,22,22,22,22,22
서울,양천구,29,29,30,30,30,30,30,30
서울,강서구,36,36,36,36,36,36,36,36
서울,구로구,23,23,24,24,24,24,24,24
서울,금천구,18,18,18,18,18,17,17,18
서울,영등포구,23,23,23,23,23,23,23,23
서울,동작구,20,20,20,21,21,21,21,21
서울,관악구,22,22,22,22,22,22,22,22
서울,서초구,22,22,23,24,24,24,24,24
서울,강남구,30,30,30,31,31,33,33,33
서울,송파구,37,37,37,37,38,38,39,39
서울,강동구,25,26,26,26,26,26,26,27
부산,중구,5,5,5,5,5,5,4,4
부산,서구,11,11,11,11,11,11,11,11
부산,동구,8,8,8,8,8,8,8,8
부산,영도구,14,14,14,14,14,14,14,14
부산,부산진구,32,32,32,32,32,32,32,32
부산,동래구,22,22,22,22,22,22,22,22
부산,남구,20,20,20,20,21,21,21,21
부산,북구,26,26,26,27,27,27,27,27
부산,해운대구,32,32,33,33,33,33,33,33
부산,사하구,27,27,27,27,27,27,27,27
부산,금정구,21,21,22,22,22,22,23,23
부산,강서구,17,16,16,17,17,17,18,18
부산,연제구,16,16,16,16,16,16,16,16
부산,수영구,10,10,10,10,10,10,10,10
부산,사상구,21,21,21,21,21,21,21,21
부산,기장군,16,16,16,17,19,20,21,21
대구,중구,10,10,10,10,10,10,10,10
대구,동구,29,29,30,31,32,32,32,32
대구,서구,17,17,17,17,17,17,17,17
대구,남구,11,11,11,11,11,11,11,11
대구,북구,38,38,38,38,38,38,38,37
대구,수성구,33,34,34,34,34,34,34,34
대구,달서구,51,52,52,53,53,54,54,55
대구,달성군,25,25,25,25,25,25,29,32
인천,중구,12,12,12,12,13,13,13,13
인천,동구,8,8,8,8,8,8,8,8
인천,남구,22,22,22,22,22,22,22,23
인천,연수구,20,21,22,23,24,24,26,27
인천,남동구,33,36,36,37,37,37,38,38
인천,부평구,42,42,42,42,42,42,42,42
인천,계양구,26,26,26,26,26,26,26,26
인천,서구,35,37,40,42,42,43,44,44
인천,강화군,22,22,22,22,22,22,22,22
인천,옹진군,6,6,6,6,6,6,6,6
광주,동구,11,11,11,11,10,10,10,11
광주,서구,27,27,29,29,30,30,30,30
광주,남구,21,21,21,21,21,22,22,22
광주,북구,45,46,44,44,44,46,46,46
광주,광산구,41,42,43,44,45,45,45,45
대전,동구,23,23,23,23,23,23,23,23
대전,중구,27,27,27,27,27,27,27,27
대전,서구,36,37,37,37,37,38,38,38
대전,유성구,32,34,36,36,36,37,37,38
대전,대덕구,20,20,20,20,20,21,21,21
울산,중구,20,20,20,20,21,21,21,21
울산,남구,30,30,30,30,30,30,30,30
울산,동구,16,16,16,16,16,16,16,16
울산,북구,19,20,20,19,19,19,19,20
울산,울주군,33,33,33,33,33,33,31,31
경기,수원시,88,88,94,95,96,97,97,97
경기,성남시,66,66,66,66,68,68,71,72
경기,의정부시,31,31,31,31,31,32,33,33
경기,안양시,40,40,41,41,41,41,41,41
경기,부천시,62,62,62,62,62,62,62,64
경기,광명시,23,24,24,24,24,24,24,24
경기,평택시,50,51,51,52,52,52,54,54
경기,동두천시,11,11,11,11,11,11,11,11
경기,안산시,54,54,54,54,54,54,54,54
경기,고양시,77,80,80,81,81,82,83,83
경기,과천시,4,4,4,4,4,4,4,4
경기,구리시,15,15,15,15,15,15,15,16
경기,남양주시,53,54,55,55,56,59,60,60
경기,오산시,20,21,21,21,21,22,22,22
경기,시흥시,36,36,36,36,37,37,38,40
경기,군포시,25,25,25,26,26,26,26,26
경기,의왕시,11,11,12,13,13,13,13,13
경기,하남시,13,13,13,13,13,16,17,20
경기,용인시,92,95,97,99,100,100,100,100
경기,파주시,54,56,56,57,57,57,57,57
경기,이천시,31,31,31,31,31,31,31,31
경기,안성시,34,34,34,34,34,34,34,34
