지역,구역,2010,2011,2012,2013,2014,2015,2016,2017,2018
서울,종로구,0.837,0.86,0.89,0.729,0.79,0.813,0.784,0.646,0.606
서울,중구,1.055,1.017,1.121,0.955,1.004,0.946,0.974,0.824,0.737
서울,용산구,1.017,1.039,1.098,1.008,0.978,1.005,0.907,0.793,0.747
서울,성동구,1.029,1.026,1.077,1.079,1.027,1.095,1.013,0.972,0.909
서울,광진구,0.935,0.9,0.957,0.877,0.895,0.903,0.867,0.749,0.713
서울,동대문구,0.941,0.975,0.998,0.909,0.914,0.96,0.889,0.822,0.753
서울,중랑구,1.01,0.996,1.082,0.991,1.006,1.051,0.995,0.906,0.825
서울,성북구,1.048,1.062,1.044,0.983,0.949,0.991,0.909,0.818,0.737
서울,강북구,0.996,1.018,1.051,0.963,0.955,0.922,0.878,0.825,0.647
서울,도봉구,1.104,1.079,1.137,0.956,1,1.01,0.947,0.833,0.774
서울,노원구,1.1,1.083,1.162,1.057,1.109,1.096,1.068,0.938,0.809
서울,은평구,1.02,1.064,1.139,1.024,1.028,1.003,0.943,0.814,0.772
서울,서대문구,0.971,0.894,0.967,0.938,0.954,0.913,0.934,0.823,0.727
서울,마포구,0.955,0.977,0.991,0.892,0.915,0.986,0.945,0.806,0.733
서울,양천구,0.974,1.002,1.055,0.99,1.005,1.034,1.008,0.898,0.771
서울,강서구,1.085,1.113,1.151,1.032,1.064,1.129,1.059,0.925,0.826
서울,구로구,1.197,1.177,1.258,1.162,1.142,1.169,1.07,0.943,0.838
서울,금천구,1.011,1.001,1.104,0.944,1.019,1.086,0.944,0.901,0.796
서울,영등포구,1.128,1.103,1.142,0.999,1.025,1.085,1.011,0.884,0.851
서울,동작구,0.989,1.001,1.017,0.974,1.007,1.012,0.912,0.831,0.737
서울,관악구,0.881,0.897,0.891,0.825,0.834,0.833,0.777,0.662,0.597
서울,서초구,1.068,1.025,1.095,1.007,1.014,1.012,0.928,0.799,0.8
서울,강남구,0.862,0.855,0.886,0.842,0.863,0.857,0.802,0.706,0.631
서울,송파구,1.058,1.042,1.099,0.973,0.996,1.008,0.958,0.871,0.8
서울,강동구,1.096,1.104,1.101,1.006,1.039,1.036,0.938,0.884,0.82
부산,중구,1.039,1.002,0.945,0.887,0.914,0.925,0.801,0.687,0.698
부산,서구,0.78,0.863,0.905,0.819,0.878,0.899,0.912,0.758,0.736
부산,동구,0.935,1.031,1.033,0.947,0.941,0.929,0.885,0.791,0.702
부산,영도구,0.922,0.926,0.912,0.84,0.871,0.899,0.938,0.75,0.707
부산,부산진구,1.034,1.063,1.134,1.029,1.037,1.079,1.003,0.883,0.811
부산,동래구,0.976,1.005,1.061,0.935,0.983,1.026,1.014,0.887,0.813
부산,남구,1.067,1.06,1.068,1.017,1.029,1.049,0.987,0.881,0.816
부산,북구,1.08,1.088,1.218,1.148,1.192,1.209,1.234,1.106,0.992
부산,해운대구,1.053,1.123,1.143,1.058,1.07,1.081,1.047,0.884,0.841
부산,사하구,1.133,1.234,1.254,1.147,1.142,1.199,1.119,1.005,0.925
부산,금정구,0.928,0.928,1.003,0.921,0.91,1.009,0.868,0.849,0.788
부산,강서구,1.483,1.321,1.505,1.424,1.688,1.982,1.924,1.829,1.611
부산,연제구,1.004,1.034,1.083,0.989,1.079,1.075,1.07,0.945,0.936
부산,수영구,0.912,0.958,0.98,0.897,0.917,1.045,0.975,0.852,0.77
부산,사상구,1.129,1.153,1.246,1.15,1.181,1.241,1.102,0.996,0.919
부산,기장군,1.533,1.493,1.709,1.61,1.782,1.771,1.696,1.456,1.241
대구,중구,0.872,0.995,0.996,0.936,0.996,1.157,1.211,1.04,1.001
대구,동구,1.185,1.206,1.28,1.195,1.283,1.322,1.239,1.123,1.024
대구,서구,0.828,0.958,1.063,0.994,0.958,0.985,0.973,0.819,0.694
대구,남구,0.822,0.856,0.933,0.889,0.87,0.934,0.875,0.753,0.683
대구,북구,1.228,1.274,1.349,1.217,1.275,1.349,1.295,1.14,1.075
대구,수성구,0.944,0.988,1.055,0.944,1.034,1.013,0.99,0.849,0.763
대구,달서구,1.193,1.191,1.25,1.187,1.204,1.26,1.185,1.04,0.895
대구,달성군,1.535,1.54,1.614,1.476,1.504,1.535,1.667,1.634,1.615
인천,중구,1.3,1.284,1.364,1.283,1.298,1.299,1.19,1.047,1.018
인천,동구,1.253,1.398,1.342,1.221,1.156,1.325,1.185,1.039,1.005
인천,남구,1.146,1.151,1.205,1.107,1.106,1.127,1.068,1.027,-
인천,연수구,1.207,1.194,1.284,1.21,1.234,1.215,1.135,1.064,1.059
인천,남동구,1.211,1.28,1.333,1.183,1.209,1.24,1.163,1.008,1.006
인천,부평구,1.168,1.156,1.205,1.139,1.183,1.177,1.113,0.977,0.954
인천,계양구,1.244,1.24,1.3,1.142,1.166,1.126,1.047,0.882,0.904
인천,서구,1.329,1.363,1.485,1.384,1.362,1.35,1.28,1.058,1.119
인천,강화군,1.177,1.062,1.136,0.991,1.102,1.081,1.114,0.989,1.064
인천,옹진군,1.569,1.628,1.77,1.352,1.387,1.339,1.395,1.186,1.341
광주,동구,0.874,1.072,1.267,1.17,1.258,1.072,0.939,0.925,0.831
광주,서구,1.12,1.081,1.196,1.095,1.077,1.03,1.054,0.977,0.873
광주,남구,1.084,1.061,1.121,0.96,1.005,1.089,1.002,0.951,0.88
광주,북구,1.176,1.201,1.208,1.082,1.166,1.235,1.152,1.051,0.992
광주,광산구,1.594,1.592,1.613,1.465,1.448,1.427,1.426,1.211,1.119
대전,동구,1.205,1.258,1.32,1.25,1.215,1.258,1.131,1.031,0.903
대전,중구,1.126,1.179,1.234,1.128,1.188,1.165,1.068,0.946,0.882
대전,서구,1.129,1.183,1.231,1.164,1.169,1.223,1.141,1.012,0.903
대전,유성구,1.383,1.488,1.518,1.391,1.434,1.463,1.379,1.274,1.083
대전,대덕구,1.254,1.241,1.302,1.276,1.259,1.216,1.16,1.012,0.906
울산,중구,1.151,1.16,1.284,1.189,1.245,1.327,1.356,1.196,1.029
울산,남구,1.229,1.262,1.339,1.25,1.308,1.356,1.261,1.115,1
울산,동구,1.441,1.476,1.642,1.572,1.655,1.622,1.583,1.437,1.183
울산,북구,1.672,1.694,1.669,1.572,1.564,1.695,1.604,1.385,1.327
울산,울주군,1.548,1.54,1.627,1.526,1.563,1.579,1.442,1.312,1.236
경기,수원시,1.226,1.218,1.335,1.23,1.247,1.292,1.19,1.044,0.985
경기,성남시,1.17,1.173,1.186,1.11,1.114,1.159,1.11,1.005,0.91
경기,의정부시,1.18,1.133,1.201,1.08,1.081,1.104,1.049,0.947,0.905
경기,안양시,1.186,1.192,1.192,1.111,1.143,1.177,1.112,0.985,1.006
경기,부천시,1.172,1.159,1.189,1.053,1.089,1.072,1.019,0.977,0.896
경기,광명시,1.336,1.417,1.366,1.198,1.17,1.235,1.126,0.978,0.925
경기,평택시,1.447,1.449,1.532,1.409,1.435,1.469,1.366,1.254,1.144
경기,동두천시,1.45,1.428,1.331,1.293,1.293,1.292,1.261,1.078,0.879
경기,안산시,1.251,1.263,1.284,1.183,1.185,1.219,1.106,0.983,0.879
경기,고양시,1.165,1.17,1.211,1.087,1.111,1.161,1.071,0.96,0.846
경기,과천시,1.148,1.156,1.204,1.184,1.121,1.099,0.982,0.855,0.796
경기,구리시,1.232,1.201,1.263,1.153,1.055,1.159,1.034,0.979,0.955
경기,남양주시,1.349,1.385,1.38,1.24,1.226,1.255,1.19,1.043,0.988
경기,오산시,1.589,1.649,1.683,1.469,1.501,1.458,1.375,1.21,1.13
경기,시흥시,1.478,1.45,1.449,1.289,1.237,1.306,1.202,1.083,1.14
경기,군포시,1.451,1.492,1.535,1.352,1.418,1.422,1.339,1.105,1.058
경기,의왕시,1.312,1.255,1.378,1.312,1.225,1.209,1.13,0.912,0.885
경기,하남시,1.199,1.171,1.174,1.057,1.094,1.076,1.152,1.095,1.02
경기,용인시,1.331,1.337,1.392,1.244,1.29,1.316,1.205,1.039,0.981
경기,파주시,1.532,1.483,1.583,1.415,1.431,1.443,1.375,1.199,1.112
경기,이천시,1.483,1.503,1.562,1.367,1.387,1.47,1.36,1.234,1.106
경기,안성시,1.436,1.525,1.555,1.404,1.371,1.335,1.285,1.178,1.026
경기,김포시,1.324,1.33,1.472,1.356,1.441,1.461,1.296,1.175,1.094
경기,화성시,1.83,1.797,1.757,1.542,1.512,1.555,1.555,1.391,1.309
경기,광주시,1.345,1.409,1.471,1.34,1.453,1.45,1.323,1.187,1.127
경기,양주시,1.442,1.474,1.486,1.297,1.354,1.318,1.279,1.188,1.09
경기,포천시,1.307,1.281,1.462,1.233,1.196,1.354,1.258,1.152,1.056
강원,춘천시,1.233,1.307,1.27,1.203,1.173,1.202,1.168,1.032,1.024
강원,원주시,1.327,1.341,1.365,1.193,1.2,1.255,1.188,1.106,0.984
강원,강릉시,1.173,1.24,1.273,1.173,1.091,1.234,1.137,1.025,1.004
강원,동해시,1.282,1.386,1.381,1.378,1.37,1.34,1.387,1.236,1.096
강원,태백시,1.475,1.305,1.425,1.244,1.327,1.276,1.12,1.183,1.193
강원,속초시,1.337,1.315,1.329,1.268,1.352,1.486,1.238,0.908,1.031
강원,삼척시,1.236,1.266,1.454,1.245,1.245,1.307,1.262,1.158,1.191
충북,청주시,1.34,1.404,1.467,1.341,1.367,1.444,1.352,1.227,1.163
충북,충주시,1.346,1.324,1.305,1.254,1.246,1.26,1.314,1.144,1.088
충북,제천시,1.343,1.363,1.405,1.317,1.395,1.301,1.334,1.17,1.188
