지역,2010,2011,2012,2013,2014,2015,2016,2017
서울,5059,5150,5145,5146,5209,5165,5146,5152
부산,1599,1615,1660,1670,1693,1684,1686,1685
대구,1163,1170,1208,1205,1227,1246,1247,1239
인천,1332,1380,1429,1448,1472,1488,1520,1533
광주,680,687,691,706,732,733,730,744
대전,694,709,724,734,762,770,774,764
울산,523,539,550,554,556,573,576,584
경기,5556,5698,5857,6017,6272,6393,6504,6685
강원,683,692,707,706,721,741,749,790
충북,743,759,760,784,823,839,845,861
충남,1029,1063,1095,1141,1163,1199,1226,1140
전북,839,862,871,895,901,922,940,921
전남,912,922,943,942,945,962,964,957
경북,1370,1375,1395,1403,1441,1433,1443,1447
경남,1564,1613,1618,1641,1660,1691,1704,1723
제주,284,294,303,309,322,339,355,374
