지역,구역,2010,2011,2012,2013,2014,2015,2016,2017
서울,종로구,1011,1062,1000,877,840,806,760,700
서울,중구,1049,920,1029,860,851,916,799,792
서울,용산구,1784,1866,1895,1795,1560,1515,1366,1357
서울,성동구,2306,2307,2425,2432,2125,2083,1944,2096
서울,광진구,2672,2766,2798,2685,2589,2576,2285,2082
서울,동대문구,2302,2344,2302,2327,2123,2159,1796,1657
서울,중랑구,2694,2789,2881,2813,2769,2716,2591,2302
서울,성북구,3212,3109,2933,2809,2415,2379,2131,1917
서울,강북구,2142,2122,2207,1975,1819,1715,1500,1436
서울,도봉구,2110,2127,2117,2062,1791,1810,1636,1543
서울,노원구,3511,3720,3638,3432,3176,3146,2778,2420
서울,은평구,3009,3205,3232,3277,2916,2812,2573,2331
서울,서대문구,1995,2025,2007,1974,1732,1722,1660,1546
서울,마포구,3114,3147,3031,2986,2827,3205,2588,2294
서울,양천구,2553,2777,2679,2644,2490,2516,2258,2021
서울,강서구,4247,4276,4432,4331,4338,4578,4111,4069
서울,구로구,3472,3470,3610,3357,3156,3045,2674,2460
서울,금천구,1705,1662,1689,1594,1556,1481,1324,1439
서울,영등포구,3283,3342,3155,3086,2951,2934,2609,2539
서울,동작구,2999,3085,3203,3130,2962,2855,2514,2282
서울,관악구,4365,4372,4457,4183,3949,3859,3537,3205
서울,서초구,3004,3040,3074,2988,2871,2846,2676,2288
서울,강남구,3636,3657,3721,3591,3560,3380,3032,2677
서울,송파구,4818,4893,4868,4445,4480,4386,4102,3896
서울,강동구,3473,3436,3312,3166,2977,2753,2399,2427
부산,중구,293,296,315,305,297,261,214,224
부산,서구,667,644,616,655,554,557,476,435
부산,동구,523,561,539,506,493,422,385,361
부산,영도구,800,757,703,698,611,546,521,436
부산,부산진구,2389,2548,2500,2621,2309,2131,1914,1819
부산,동래구,1390,1486,1458,1426,1339,1223,1237,1088
부산,남구,1592,1552,1529,1542,1448,1313,1153,1023
부산,북구,1701,1671,1857,1893,1550,1652,1668,1357
부산,해운대구,2297,2209,2290,2212,1936,2040,1760,1576
부산,사하구,2272,2284,2161,2232,1922,1786,1738,1697
부산,금정구,1191,1216,1263,1324,1177,1184,1004,974
부산,강서구,449,399,418,479,624,768,839,905
부산,연제구,1235,1231,1217,1204,1114,1071,1030,960
부산,수영구,954,1027,1075,1073,1096,1159,983,884
부산,사상구,1693,1661,1625,1600,1403,1382,1209,1106
부산,기장군,749,682,796,964,1054,1058,982,832
대구,중구,446,403,405,428,488,502,469,363
대구,동구,2031,2192,2022,2014,1939,1956,1978,1753
대구,서구,1231,1326,1345,1295,1137,1036,946,771
대구,남구,1030,1031,1072,1012,893,939,830,732
대구,북구,2483,2574,2488,2371,2239,2206,2126,2077
대구,수성구,1768,1845,1850,2013,1864,1691,1572,1403
대구,달서구,3366,3265,3322,3391,3038,3117,2786,2521
